people,count
ugly ken hart,21
sampson,20
king,20
claudius english,20
lisa marie rocchio,20
minor victim-6,20
ungar,20
easton,20
lisa rocchio,20
mr. hamilton,20
carpenter,20
alex acosta,20
"raymond j. lohier, jr.",20
sergeant dawson,20
ms. gill,20
mr. verdell,20
defense counsel,20
maurene ryan comey,20
ty gee,20
warden,19
john lopez,19
marshall,19
rodriguez,19
doe,19
maureen comey,19
bennett gershman,19
ward,19
natalie bennett,19
"garry, m.",19
hanson,19
rivera,19
harvey,19
virginia l. giuffre,19
a. marie villafaña,19
gebbie,19
mrs. hesse,19
espinosa,19
juan p. alessi,19
nicole,19
robyn,19
ml,19
joe,19
molly,19
guy fronstin,19
hugh,19
todd blanche,19
montell figgins,19
preston77,19
aileen josephs,19
elizabeth stein,18
robert kelso,18
kelly bovino,18
ianniello,18
white,18
jason richards,18
nicole hesse,18
patrick j. smith,18
elizabeth loftus,18
renato stabile,18
n. bennett,18
w. o'donohue,18
chen,18
agent young,18
amanda kramer,18
peter skinner,18
mr. boies,18
mandelker,18
darren indyke,18
barry e. krischer,18
gerald b. lefcourt,18
mr. besselsen,18
christine,18
colon,18
"(b)(6), (b)(7)(c)",18
warden n'diaye,18
bodmer,18
kristen carannante,18
esposito,18
karni,18
kelly mcguirk,18
natalie,18
jessica lonergan,18
greer,17
isabel maxwell,17
roberts,17
rodgers,17
van dam,17
kimba m. wood,17
sigal mandelker,17
detective,17
harry beller,17
mary,17
megan,17
amber,17
chels-ifer,17
ske3m,17
sam,17
j epstein,17
marc fernich,17
sabhnani,17
jean-luc,17
mr. j.e.,17
schulte,17
mr. rotert,16
attorney general,16
hall,16
hatters friedman s,16
goodman-brown,16
dietz pe,16
recarey,16
maria alessi,16
jane doe #3,16
michael reiter,16
mark filip,16
jane doe 2,16
evelyn,16
ms. meder,16
hesse,16
kimberly meder,16
shelly lewis,16
sky roberts,16
shannon,16
jenny,16
js,16
iggy,16
"greene, linda c.",16
det. recarey,16
tom,16
lieutenant,16
mike,16
lea harmon,16
david mullen,16
rebekah donaleski,16
mr. foy,16
barnes,15
teresa helm,15
donna guerin,15
juliette bryant,15
avenatti,15
ted waitt,15
greene,15
alexander hamilton,15
robert maxwell,15
dave,15
chief judge mcmahon,15
pena,15
jane doe-1,15
richard j. sullivan,15
adriana ross,15
jane doe #1,15
andrew lourie,15
reyes,15
martindell,15
john wallace,15
guy lewis,15
sandra k. mcsorley,15
jane's mother,15
detective byrne,15
besselsen,15
aznaran,15
adrianna,15
nick,15
"epstein, jeffrey edward",15
us attorney,15
jeffrey mr,15
boustani,15
carrie yackee,14
bradley j. edwards,14
ms. feldman,14
d'amelio,14
randy kim,14
elizabeth,14
pierre-louis,14
haynes,14
speer,14
vicky ward,14
leberg,14
howitt,14
"doyle, j.m.",14
jain a,14
english,14
mr. rodriguez,14
hazelwood rr,14
o'donohue,14
elliott,14
"davis, d.",14
juan,14
"kilpatrick, d. g.",14
"resnick, h. s.",14
jackson,14
figueroa,14
gwendolyn beck,14
larry keller,14
d.a. castor,14
ms. days,14
salameh,14
pierre n. leval,14
judge rakoff,14
prisco,14
celina midelfart,14
emmy tayler,14
mike wallace,14
fbi,14
ashley,14
adriana mucinska,14
theodore j. leopold,14
stuart s. mermelstein,14
5|<y1er,14
n'diaye,14
katharine h. parker,14
andrea k. johnstone,14
stephens,14
mr. julié,14
josé a. cabranes,14
jeanne brennan,14
david rodge,14
maxwell/ghislain,14
vikki j. benkel,14
tatiana,14
leah jean,14
kenneth r. feinberg,13
phillips,13
ms. mccarthy,13
paul daugerdas,13
richard,13
mr. schoeman,13
paul g. cassell,13
glenn dubin,13
cimberly espinosa,13
christiansen,13
denise l. cote,13
hudson,13
dupigny,13
collin-vézina,13
craven,13
hansen,13
rebecca forman,13
martin,13
ray,13
ron desantis,13
paul cassell,13
david markus,13
cl,13
isiah,13
jonathan,13
det. sandman,13
det sandman,13
tony higgins,13
morning watch lieutenant,13
darren k. indyke,13
kristine caraannante,13
cirillo,13
paula speer,13
paul shechtman,12
greenwood,12
pena-rodriguez,12
andrew,12
sally markham,12
schectman,12
schoeman,12
moon,12
tanner,12
giglio,12
professor loftus,12
david rogers,12
gerald laporte,12
jennifer naso,12
blake,12
finkelhor,12
j. engle,12
w. o'donobue,12
sorrentino r,12
tracy,12
lanning,12
esquivel-quintana,12
hunter,12
priebe,12
svedin,12
lamb,12
"lilienfeld, s.o.",12
winters,12
chambers,12
casey,12
alexander rossmiller,12
ryan,12
john roth,12
tiffany days,12
ms. belohlavek,12
jane doe 1,12
mr. mulligan,12
larry,12
holly robson,12
amy lynn,12
d,12
jeffrey m. herman,12
mark,12
j.,12
day watch operations lieutenant,12
evening watch operations lieutenant,12
shirley,12
tim,12
christy,12
andrea,12
mr. thomas,12
pauley,11
brady,11
thompson,11
feldman,11
robert y. lewis,11
theresa,11
stevens,11
blackmun,11
susan,11
okula,11
brennan,11
cornielle,11
gross,11
baker,11
alleged victim 4,11
allison moe,11
martinez,11
caroline,11
mr. grumbridge,11
todd spodek,11
rajaratnam,11
duncan,11
ken lanning,11
graham,11
vickers,11
alaggia,11
david mulligan,11
greg parkinson,11
julie brown,11
armstrong,11
george,11
filip,11
duren,11
stephen rex brown,11
jay,11
russo,11
richardson,11
johanna sjoberg,11
itzhak perlman,11
eva anderson,11
michael aznaran,11
ms. hesse,11
karen,11
jeffrey herman,11
saige,11
kelli,11
sandra mcsorley,11
nikki,11
doug,11
christina venero,11
"n'diaye, lamine",11
j.epstein,11
warden petrucci,11
judge raggi,11
andrew finkelman,11
helen,11
lewis/shelly,11
henry pitman,11
bill richardson,11
linda childs,11
bill hammond,11
chuck yeager,11
mr. j.e,11
j.e,11
hayley,11
"stanley j. okula, jr.",10
dr. derosa,10
camille s. biros,10
laurie edelstein,10
nardello,10
mr. davis,10
shaoul,10
ms. lundberg,10
berman,10
lucia osborne-crowley,10
lopez,10
mr. kelso,10
adam,10
ruggiero,10
ms. ransome,10
nelson,10
mr. hobson,10
old chief,10
president clinton,10
scarpa,10
luc cohen,10
kim,10
les wexner,10
kimberly,10
healy,10
jensen,10
ryan c. w. hall,10
minor victim-5,10
gillespie,10
schaeffer,10
daubert,10
burns,10
nathan siegel,10
corley,10
michael dawson,10
anderson,10
wilson,10
robinson,10
robert p. kelso,10
special agent young,10
maurene r. comey,10
boyle,10
whitley,10
mr. martin,10
mr. donaldson,10
villafana,10
andrew oosterbaan,10
jean luc brunel,10
matthew menchel,10
amy,10
frances jardine,10
gill velez,10
juan patricio alessi,10
janice swain,10
judge chin,10
bob marley,10
mandy,10
danielle,10
tatum miller,10
md,10
brandon,10
marie alessi,10
garrett stein,10
lea,10
shayna casdorph,10
shirley skipper scott,10
"epstein, jeffrey",10
inmate 3,10
defendant's spouse,10
jay clayton,10
glen,10
david rodriguez,10
ferguson/kirsti,10
khris sellin,10
david copperfield,10
dana,10
mark zeff,10
steph,10
ric l. bradshaw,10
det. krauel,10
nada,10
amodeo,9
dyer,9
calderon,9
gonzales,9
lugosch,9
lucia,9
salmonese,9
denis field,9
laura collins,9
bin laden,9
joyce,9
ghislane maxwell,9
mr. berke,9
langford,9
o'connor,9
nix,9
ms. stein,9
mr. demarco,9
leah saffian,9
hernandez,9
wexner,9
lawson,9
alberto pinto,9
lesley,9
"loftus, g.r.",9
barry,9
wolf,9
siegert,9
ms. durocher,9
iva a. e. bicanic,9
schönbucher,9
crisma,9
lp,9
resnick,9
roth,9
raheem,9
kidd,9
susan shelling,9
dietz,9
alison g. moe,9
glen dubin,9
kelly maguire,9
dareh gregorian,9
dan mangan,9
ausa-1,9
biaggi,9
ausa,9
holder,9
plaintiff,9
brittany henderson,9
robert senior,9
marie villafaña,9
jeffrey h. sloman,9
dave rogers,9
eva andersson,9
adam perry lang,9
mr. aznaran,9
kuyrkendall,9
vin,9
heidi fleiss,9
"caristo, nicholas",9
dane,9
joseph r. atterbury,9
jason s. weiss,9
chris,9
"melnichok, thomas c.",9
damien marley,9
jack johnson,9
john mayer,9
snoop dogg,9
paul wall,9
allison,9
mike chaos,9
rosalie friedman,9
dr perry bard,9
christine murray,9
lafontaine,9
debra c. freeman,9
mattis,9
petrov,9
mercedes,9
rowe,9
paula epstein,9
pamela j. bondi,9
edwina simmonds,9
epstein/j,9
larry summers,9
bryan,9
marc allan fernich,9
deborah anaya,9
moya,9
goretti,9
michael mcdaniel,9
jason e. foy,9
jibby 2j,9
michele pagan,9
mr. j. epstein,9
juice,9
detective pagan,9
cledus mctavern,9
daliah m. weiss,9
murphy,8
david benhamou,8
burton,8
nanette davis,8
examiner flatley,8
martha stewart,8
barry berke,8
berke,8
sattar,8
perez,8
alison nathan,8
warger,8
shauers,8
ferguson,8
martinez-salazar,8
todd a. spodek,8
carter,8
william brown,8
craig brubaker,8
mcconnell,8
hamilton,8
lawrence visoski,8
carmichael,8
josephberg,8
juror no. 1,8
camille delgado,8
michael casey,8
david e. mccraw,8
shakur,8
alena lynch,8
cruz,8
patterson,8
chapman mj,8
berliner,8
wyre,8
brand,8
jonzon,8
"greene, e.",8
cooke b,8
townsend,8
witness-1,8
raymond,8
stein,8
minor victims,8
curley,8
cummings,8
myers w,8
sessions,8
fontes,8
barter,8
dumont,8
"merckelbach, h.",8
"bruck, m.",8
clarke,8
employee-2,8
collings,8
goodman,8
gordon,8
gallagher,8
o'connell,8
spiegel,8
knoll,8
p. kevin castel,8
dietz p,8
hogan,8
jay barnes,8
brent english,8
levine h,8
weiss,8
perry,8
morrison,8
sean watson,8
jane does,8
"conte, j. r.",8
concepcion,8
groth,8
dan stein,8
"ullman, s. e.",8
jeglic,8
tony figueroa,8
skinner,8
jane doe #4,8
swain,8
dean,8
halper,8
mr. markus,8
mechel,8
jane doe 4,8
rioux,8
jane doe 3,8
ken starr,8
aleman,8
scott,8
mr. kane,8
mr. roberts,8
judas,8
"oregero, laura d.",8
william,8
michael r. tein,8
mike jones,8
"oregero, laura",8
pagan,8
5|<y1£r,8
lana belohlavek,8
patrick,8
brittany,8
[b(6); b(7)(c)],8
(b)(6),8
jeffrey edward,8
skipper-scott,8
caliendo,8
kevin pistro,8
lieutenant (b)(6),8
martir,8
loretta a. preska,8
ghislaine maxwell's spouse,8
karl metzner,8
punn,8
leah s. saffian,8
zarger,8
deutsch,8
salvagno,8
jeffrey e. epste n,8
jeffrey e epste n,8
w.doulin,8
deborah,8
shelley lewis,8
martin nowak,8
perry lang/adam,8
heather,8
j. e.,8
mr. figgins,8
jason erroy foy,8
sara kellen,8
ted,8
douglas schoettle,8
mr. herman,8
benham,8
dorothy mantooth,8
skaggs,7
cunningham,7
chief psychologist,7
wendy olson,7
estrada,7
judge kaplan,7
preet bharara,7
ajn,7
green,7
dennis donahue,7
justice brennan,7
marci a. hamilton,7
spears,7
kevin maxwell,7
guerrero,7
velez,7
birney,7
snyder,7
